,faila_nosaukums,VISS_KERMENIS,KERMENA_DALAS,GALVA_UN_DALAS,CITI_VARDI,TOTAL,tokens_count,kv_procentos
203,1971BrutaneValijaAtrausiesStasts,0.0,0.4572,0.665,0.1663,31,2406,1.29
137,1937BriedeErikaLaimigaTelojums,0.0,0.6375,0.4781,0.1594,16,1255,1.27
11,1900BirzniekuLatinaUzKurieniGrieztiesStasts,0.201,0.4523,0.603,0.0,25,1990,1.26
73,1925LiepinaMarijaUzDzīvesDrupāmStasts,0.0392,0.3915,0.7831,0.0392,32,2554,1.25
22,1903RumaneAnnaDienvidusSirds_skice,0.0,0.6757,0.5792,0.0,13,1036,1.25
228,1983SvireMaraArVakardienuKabataStasts,0.0284,0.6596,0.5146,0.037,436,35172,1.24
160,1940DakneMartaGrēksStasts,0.1027,0.5647,0.5133,0.0513,24,1948,1.23
128,1934BaumaneAlijaValaStasts,0.0696,0.5221,0.6265,0.0,35,2873,1.22
245,1991TreileIrbePasauleLielaMasaTelojums,0.0417,0.5843,0.3756,0.2087,29,2396,1.21
127,1933ZaprauskaAlmaLiktenigsParpratumsStasts,0.1374,0.4121,0.5037,0.1374,26,2184,1.19
182,1963SokolovaIngridaEdelveissStasts,0.0424,0.3393,0.7209,0.0848,28,2358,1.19
174,1957VeisbergaBenitaPedejaVasaraSkice,0.0707,0.495,0.5658,0.0471,50,4242,1.18
244,1990RepseGundegaVejamLidziStasts,0.1383,0.3802,0.5185,0.1383,34,2893,1.18
56,1913GailīteAngelikaCinaStasts,0.2216,0.24,0.7016,0.0185,64,5416,1.18
23,1903RumaneKeninaNaktsJutasSkice,0.2331,0.3497,0.5828,0.0,10,858,1.17
94,1927PrusaEmilijaAbelīteStasts,0.1056,0.4224,0.5808,0.0528,22,1894,1.16
9,1899BrigadereAnnaPatversmeStasts,0.0215,0.5148,0.547,0.0751,108,9324,1.16
21,1903BrigadereAnnaKristīnesStāsts,0.0222,0.4367,0.6588,0.037,156,13509,1.15
231,1984KikureErnaViņaspiezīmesStasts,0.0835,0.1671,0.735,0.1504,68,5986,1.14
171,1956BridakaLijaVejaZiedsTelojums,0.0,0.5331,0.5331,0.0762,30,2626,1.14
37,1906ZemgaliesuBirutaPurvaLakstigalaStasts,0.0207,0.477,0.5185,0.1244,55,4822,1.14
43,1907ZemgaliesuBirutaNeaizmirstamaZeltaJaunibaSkice,0.0,0.5624,0.5624,0.0,10,889,1.12
97,1927PrusaEmilijaMeduzasGalvaStasts,0.056,0.224,0.7839,0.056,20,1786,1.12
7,1899BirzniekuLatinaKarsuPartijaStasts,0.0611,0.3465,0.693,0.0204,55,4906,1.12
31,1905ZemgaliesuBirutaLaimesDienaSkice,0.0,0.1842,0.5525,0.3683,6,543,1.1
110,1929BaumaneAlijaVasarniekiStasts,0.1206,0.4674,0.4523,0.0452,72,6633,1.09
198,1969SkipsnaIlzeApmaldisanasTelojums,0.1819,0.3639,0.4245,0.1213,18,1649,1.09
205,1972AvotinaDainaZuzeStasts,0.0228,0.6033,0.3881,0.0587,329,30663,1.07
98,1927PrusaEmilijaRaibieSapnuTauriniTelojums,0.0559,0.3913,0.5031,0.1118,19,1789,1.06
178,1959BrutaneValijaValgasSlejasStasts,0.0738,0.3152,0.5566,0.1073,157,14913,1.05
55,1913GailiteAngelikaVenusVaiElizabeteStasts,0.1178,0.1914,0.692,0.0442,71,6792,1.05
85,1927BaumaneAlijaTiesaStasts,0.0739,0.1848,0.6285,0.1479,28,2705,1.04
6,1898BirzniekuLatinaLaimigaisTevsStasts,0.1289,0.5158,0.3868,0.0,32,3102,1.03
123,1932BaumaneAlijaPrinceseLihtenšteineStasts,0.0,0.3269,0.613,0.0817,25,2447,1.02
3,1896ZaliteHermineIzlīdzētsStasts,0.0,0.4633,0.4633,0.0772,13,1295,1.0
8,1899BirzniekuLatinaPusratiStasts,0.0644,0.4188,0.4832,0.0322,31,3104,1.0
191,1965LeimaneIlonaDiviPortretiSkice,0.0,0.6696,0.2232,0.1116,9,896,1.0
54,1913GailiteAngelikaTikaiSapnisTelojums,0.1656,0.0,0.8278,0.0,6,604,0.99
53,1913GailiteAngelikaSievieteTelojums,0.0361,0.2168,0.7228,0.0,27,2767,0.98
130,1934MezsetaZelmaDzejniekaSpieķisStasts,0.0,0.3343,0.5014,0.1114,34,3590,0.95
1,1894AspazijaCinaParNakamibuNovele,0.0795,0.3973,0.4314,0.0454,168,17619,0.95
194,1968DarbinaAldaCitronkoks,0.0597,0.4777,0.3185,0.0796,47,5024,0.94
96,1927PrusaEmilijaĶiršuZiediAtminasStasts,0.0474,0.3318,0.4739,0.079,59,6330,0.93
136,1936VankinaElviraTulpesStasts,0.0,0.2884,0.6344,0.0,16,1734,0.92
229,1984KalpinaRuditeAbiemVienaGultaStasts,0.1019,0.2548,0.5097,0.051,18,1962,0.92
74,1925TalmaneEizenijaAizaugušosCeļosStasts,0.0962,0.3367,0.481,0.0,19,2079,0.91
84,1926ProrinaElzaNersStasts,0.0793,0.238,0.595,0.0,23,2521,0.91
165,1947KacenaVeraSievaStasts,0.0272,0.4347,0.3804,0.0543,66,7361,0.9
201,1970LuginskaRitaPeleksLietusStasts,0.0126,0.2889,0.5653,0.0377,72,7961,0.9
138,1937VankinaElviraNepareiziSavienotsStasts,0.0599,0.2996,0.4194,0.1198,15,1669,0.9
115,1929PrusaEmilijaDivasVaskaSvecesStasts,0.057,0.2848,0.4557,0.0712,61,7022,0.87
235,1985RubeneEvaVienigaisUnVienigaStasts,0.0176,0.3335,0.4037,0.1053,49,5697,0.86
117,1929TalmaneEizenijaVerveliStasts,0.0,0.3096,0.4644,0.0774,11,1292,0.85
122,1931BangaTijaPiePlikaNagaStasts,0.1493,0.1493,0.398,0.1493,17,2010,0.85
246,1991ValodzeAijaPieturaUzPieprasījumu,0.0,0.3098,0.3873,0.1549,11,1291,0.85
